index,classification,name,club_page,external_url
1101,綜合性,野餐社,https://osa_activity.ntu.edu.tw/club/detail/sn/1101  ,https://www.facebook.com/NTUpicnic/
1102,綜合性,法律推廣暨法治教育研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/1102  ,
1103,學術性,金庸研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/1103  ,https://reurl.cc/mnk0m1
1104,綜合性,資料分析與決策社,https://osa_activity.ntu.edu.tw/club/detail/sn/1104  ,https://www.facebook.com/NTUDAC
1105,綜合性,創價青年社,https://osa_activity.ntu.edu.tw/club/detail/sn/1105  ,https://www.facebook.com/groups/1764109460538102/
1106,學術性,言迷語言學社,https://osa_activity.ntu.edu.tw/club/detail/sn/1106  ,https://www.facebook.com/NTULinguaphiles/
1107,綜合性,狼人殺社,https://osa_activity.ntu.edu.tw/club/detail/sn/1107  ,https://reurl.cc/NjN4am
1109,學術性,TED分享社,https://osa_activity.ntu.edu.tw/club/detail/sn/1109  ,https://www.facebook.com/TEDxNTUtw
1110,學術性,皮繩愉虐社,https://osa_activity.ntu.edu.tw/club/detail/sn/1110  ,www.facebook.com/NTUBDSM/
1112,學術性,賽車社,https://osa_activity.ntu.edu.tw/club/detail/sn/1112  ,https://www.facebook.com/NTURacing
1113,聯誼性,拉美與加勒比同學會,https://osa_activity.ntu.edu.tw/club/detail/sn/1113  ,https://www.instagram.com/laticarintu/
1114,學術性,金融科技研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/1114  ,https://www.facebook.com/NTUFintechClub/
1116,綜合性,醫學院橄欖球社,https://osa_activity.ntu.edu.tw/club/detail/sn/1116  ,
1118,綜合性,Every Nation Campus,https://osa_activity.ntu.edu.tw/club/detail/sn/1118  ,https://www.facebook.com/encampustaipei
1119,服務性,FRC機器人研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/1119  ,https://www.facebook.com/NTUforFRC
1121,學藝性,直笛團,https://osa_activity.ntu.edu.tw/club/detail/sn/1121  ,https://www.facebook.com/nturecorderorchestra
1122,學術性,國家安全暨戰略研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/1122  ,
1123,體適能,衝浪社,https://osa_activity.ntu.edu.tw/club/detail/sn/1123  ,https://www.facebook.com/臺大衝浪社-NTU-Surf-Club-301698271622964
3001,自治性,學生代表大會,https://osa_activity.ntu.edu.tw/club/detail/sn/3001  ,https://www.facebook.com/NTUStudentCongress/
9998,學術性,全球集思論壇籌備團隊,https://osa_activity.ntu.edu.tw/club/detail/sn/9998  ,http://gis-taiwan.ntu.edu.tw/
9999,綜合性,課外活動組,https://osa_activity.ntu.edu.tw/club/detail/sn/9999  ,http://club.ntu.edu.tw/
T013,學藝性,杏林熱門音樂社,https://osa_activity.ntu.edu.tw/club/detail/sn/T013  ,
T049,聯誼性,研究生僑生交流會,https://osa_activity.ntu.edu.tw/club/detail/sn/T049  ,
T051,自治性,藥理學研究所學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T051  ,
