room_name,floor,type,capacity,equipment,morning_fee,afternoon_fee,day_fee,night_fee,building
綜合大講堂,1樓,階梯教室,568,2F 電視牆(18合1)、冷氣空調 (包含在場地清潔費內)、四投影機 (包含在場地清潔費內),50000,50000,100000,100000,綜合教學館
綜2F 樓學習開放空間,2樓,平面討論室,84,冷氣空調,2500,2500,4750,4750,綜合教學館
綜201,2樓,平面教室,50,冷氣空調、單投影機、2F 電視牆(18合1),2500,2500,4750,4750,綜合教學館
綜202,2樓,平面教室,50,單投影機、2F 電視牆(18合1)、冷氣空調,2500,2500,4750,4750,綜合教學館
綜203,2樓,平面教室,50,2F 電視牆(18合1)、冷氣空調、單投影機,2500,2500,4750,4750,綜合教學館
綜301,3樓,平面教室,90,2F 電視牆(18合1)、冷氣空調、單投影機,2750,2750,5250,5250,綜合教學館
綜302,3樓,平面教室,90,2F 電視牆(18合1)、冷氣空調、單投影機,2750,2750,5250,5250,綜合教學館
綜401,4樓,平面教室,42,2F 電視牆(18合1)、冷氣空調、雙投影機,2500,2500,4750,4750,綜合教學館
綜402,4樓,平面教室,60,單投影機、2F 電視牆(18合1)、冷氣空調,2750,2750,5250,5250,綜合教學館
綜403,4樓,平面教室,70,2F 電視牆(18合1)、冷氣空調、單投影機,2750,2750,5250,5250,綜合教學館
綜404,4樓,舞蹈教室,50,單投影機、2F 電視牆(18合1)、冷氣空調,2500,2500,4750,4750,綜合教學館
綜501,5樓,平面教室,80,2F 電視牆(18合1)、冷氣空調、單投影機,2750,2750,5250,5250,綜合教學館
綜502,5樓,平面教室,60,2F 電視牆(18合1)、冷氣空調、單投影機,2750,2750,5250,5250,綜合教學館
綜503,5樓,平面教室,70,2F 電視牆(18合1)、冷氣空調、單投影機,2750,2750,5250,5250,綜合教學館
綜504,5樓,平面教室,80,冷氣空調、單投影機、2F 電視牆(18合1),2750,2750,5250,5250,綜合教學館
綜505,5樓,平面教室,25,單投影機、2F 電視牆(18合1)、冷氣空調,2500,2500,4750,4750,綜合教學館
綜601,6樓,平面教室,20,2F 電視牆(18合1)、冷氣空調、單投影機,2500,2500,4750,4750,綜合教學館
綜602,6樓,平面教室,70,2F 電視牆(18合1)、冷氣空調、單投影機,2750,2750,5250,5250,綜合教學館
綜603,6樓,平面教室,70,2F 電視牆(18合1)、冷氣空調、單投影機,2750,2750,5250,5250,綜合教學館
綜604,6樓,平面教室,80,冷氣空調、單投影機、2F 電視牆(18合1),2750,2750,5250,5250,綜合教學館
綜605,6樓,平面教室,15,單投影機、2F 電視牆(18合1)、冷氣空調,2500,2500,4750,4750,綜合教學館
綜606,6樓,平面教室,18,2F 電視牆(18合1)、冷氣空調、單投影機,2500,2500,4750,4750,綜合教學館
綜607,6樓,平面教室,15,單投影機、2F 電視牆(18合1)、冷氣空調,2500,2500,4750,4750,綜合教學館
